username,repo_name,stars,repo_url
mrdoob,three.js,85500,https://github.com/topics/mrdoob/three.js
libgdx,libgdx,20500,https://github.com/topics/libgdx/libgdx
pmndrs,react-three-fiber,19700,https://github.com/topics/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18400,https://github.com/topics/BabylonJS/Babylon.js
ssloy,tinyrenderer,14700,https://github.com/topics/ssloy/tinyrenderer
aframevr,aframe,14600,https://github.com/topics/aframevr/aframe
lettier,3d-game-shaders-for-beginners,13700,https://github.com/topics/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12200,https://github.com/topics/FreeCAD/FreeCAD
metafizzy,zdog,9400,https://github.com/topics/metafizzy/zdog
CesiumGS,cesium,9300,https://github.com/topics/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8300,https://github.com/topics/timzhang642/3D-Machine-Learning
isl-org,Open3D,7400,https://github.com/topics/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7200,https://github.com/topics/a1studmuffin/SpaceshipGenerator
blender,blender,6600,https://github.com/topics/blender/blender
domlysz,BlenderGIS,5600,https://github.com/topics/domlysz/BlenderGIS
openscad,openscad,5000,https://github.com/topics/openscad/openscad
spritejs,spritejs,5000,https://github.com/topics/spritejs/spritejs
google,model-viewer,4800,https://github.com/topics/google/model-viewer
jagenjo,webglstudio.js,4700,https://github.com/topics/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4700,https://github.com/topics/tensorspace-team/tensorspace
