username,repo_name,stars,repo_url
public-apis,public-apis,210000,https://github.com/topics/public-apis/public-apis
neovim,neovim,57900,https://github.com/topics/neovim/neovim
tiangolo,fastapi,49800,https://github.com/topics/tiangolo/fastapi
strapi,strapi,48000,https://github.com/topics/strapi/strapi
hoppscotch,hoppscotch,47000,https://github.com/topics/hoppscotch/hoppscotch
slatedocs,slate,34500,https://github.com/topics/slatedocs/slate
meilisearch,meilisearch,29500,https://github.com/topics/meilisearch/meilisearch
hasura,graphql-engine,28000,https://github.com/topics/hasura/graphql-engine
ccxt,ccxt,25800,https://github.com/topics/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25600,https://github.com/topics/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25000,https://github.com/topics/YMFE/yapi
encode,django-rest-framework,24200,https://github.com/topics/encode/django-rest-framework
httpie,httpie,23800,https://github.com/topics/httpie/httpie
Kong,insomnia,23500,https://github.com/topics/Kong/insomnia
littlecodersh,ItChat,22500,https://github.com/topics/littlecodersh/ItChat
paularmstrong,normalizr,20900,https://github.com/topics/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20400,https://github.com/topics/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20100,https://github.com/topics/microsoft/api-guidelines
pubkey,rxdb,18100,https://github.com/topics/pubkey/rxdb
shieldfy,API-Security-Checklist,17900,https://github.com/topics/shieldfy/API-Security-Checklist
