username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10900,https://github.com/topics/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10600,https://github.com/topics/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10600,https://github.com/topics/bitwarden/server
abpframework,abp,8600,https://github.com/topics/abpframework/abp
nopSolutions,nopCommerce,7500,https://github.com/topics/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6400,https://github.com/topics/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5400,https://github.com/topics/thangchung/clean-code-dotnet
RicoSuter,NSwag,5400,https://github.com/topics/RicoSuter/NSwag
smartstore,SmartStoreNET,2500,https://github.com/topics/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/topics/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2300,https://github.com/topics/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,https://github.com/topics/serenity-is/Serenity
loic-sharma,BaGet,2100,https://github.com/topics/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2000,https://github.com/topics/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/topics/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/topics/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1100,https://github.com/topics/MarimerLLC/csla
antonioCoco,SharPyShell,63000,https://github.com/topics/antonioCoco/SharPyShell
riganti,dotvvm,62000,https://github.com/topics/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,62000,https://github.com/topics/cornflourblue/aspnet-core-3-jwt-authentication-api
