username,repo_name,stars,repo_url
ljianshu,Blog,7300,https://github.com/topics/ljianshu/Blog
metafizzy,infinite-scroll,7200,https://github.com/topics/metafizzy/infinite-scroll
developit,unfetch,5400,https://github.com/topics/developit/unfetch
jquery-form,form,5200,https://github.com/topics/jquery-form/form
olifolkerd,tabulator,4900,https://github.com/topics/olifolkerd/tabulator
Studio-42,elFinder,4300,https://github.com/topics/Studio-42/elFinder
ded,reqwest,2900,https://github.com/topics/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2900,https://github.com/topics/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com/topics/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/topics/LeaVerou/bliss
wendux,ajax-hook,2100,https://github.com/topics/wendux/ajax-hook
noelboss,featherlight,2100,https://github.com/topics/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/topics/craftpip/jquery-confirm
ptaoussanis,sente,1700,https://github.com/topics/ptaoussanis/sente
nette,tracy,1600,https://github.com/topics/nette/tracy
joaomilho,Enterprise,1500,https://github.com/topics/joaomilho/Enterprise
loadingio,css-spinner,1400,https://github.com/topics/loadingio/css-spinner
u014427391,jeeplatform,1400,https://github.com/topics/u014427391/jeeplatform
MoOx,pjax,1300,https://github.com/topics/MoOx/pjax
codingforentrepreneurs,eCommerce,1300,https://github.com/topics/codingforentrepreneurs/eCommerce
