username,repo_name,stars,repo_url
jwasham,coding-interview-university,234000,https://github.com/topics/jwasham/coding-interview-university
CyC2018,CS-Notes,157000,https://github.com/topics/CyC2018/CS-Notes
trekhleb,javascript-algorithms,151000,https://github.com/topics/trekhleb/javascript-algorithms
TheAlgorithms,Python,145000,https://github.com/topics/TheAlgorithms/Python
yangshun,tech-interview-handbook,79000,https://github.com/topics/yangshun/tech-interview-handbook
kdn251,interviews,58300,https://github.com/topics/kdn251/interviews
azl397985856,leetcode,49400,https://github.com/topics/azl397985856/leetcode
TheAlgorithms,Java,47900,https://github.com/topics/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,39100,https://github.com/topics/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,31900,https://github.com/topics/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26800,https://github.com/topics/crossoverJie/JCSprout
halfrost,LeetCode-Go,26700,https://github.com/topics/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,26200,https://github.com/topics/donnemartin/interactive-coding-challenges
huihut,interview,25900,https://github.com/topics/huihut/interview
TheAlgorithms,JavaScript,22600,https://github.com/topics/TheAlgorithms/JavaScript
keon,algorithms,21600,https://github.com/topics/keon/algorithms
TheAlgorithms,C-Plus-Plus,20900,https://github.com/topics/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,20100,https://github.com/topics/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20000,https://github.com/topics/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,16300,https://github.com/topics/AtsushiSakai/PythonRobotics
