username,repo_name,stars,repo_url
localstack,localstack,43700,https://github.com/topics/localstack/localstack
serverless,serverless,43500,https://github.com/topics/serverless/serverless
bregman-arie,devops-exercises,30400,https://github.com/topics/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23800,https://github.com/topics/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13700,https://github.com/topics/pulumi/pulumi
ramitsurana,awesome-kubernetes,13100,https://github.com/topics/ramitsurana/awesome-kubernetes
aws,aws-cli,12900,https://github.com/topics/aws/aws-cli
kubernetes-sigs,kubespray,12900,https://github.com/topics/kubernetes-sigs/kubespray
mozilla,sops,10800,https://github.com/topics/mozilla/sops
donnemartin,awesome-aws,10700,https://github.com/topics/donnemartin/awesome-aws
apereo,cas,9700,https://github.com/topics/apereo/cas
aws,aws-cdk,9300,https://github.com/topics/aws/aws-cdk
caprover,caprover,9300,https://github.com/topics/caprover/caprover
aws,chalice,9200,https://github.com/topics/aws/chalice
aws-amplify,amplify-js,8900,https://github.com/topics/aws-amplify/amplify-js
serverless-stack,sst,8800,https://github.com/topics/serverless-stack/sst
aws,serverless-application-model,8700,https://github.com/topics/aws/serverless-application-model
angristan,openvpn-install,8700,https://github.com/topics/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8600,https://github.com/topics/GoogleCloudPlatform/terraformer
apex,up,8600,https://github.com/topics/apex/up
