username,repo_name,stars,repo_url
amphp,amp,3700,https://github.com/topics/amphp/amp
danog,MadelineProto,2100,https://github.com/topics/danog/MadelineProto
amphp,http-server,1200,https://github.com/topics/amphp/http-server
unreal4u,telegram-api,73000,https://github.com/topics/unreal4u/telegram-api
amphp,http-client,62000,https://github.com/topics/amphp/http-client
amphp,parallel,60000,https://github.com/topics/amphp/parallel
php-service-bus,service-bus,33000,https://github.com/topics/php-service-bus/service-bus
amphp,byte-stream,30000,https://github.com/topics/amphp/byte-stream
amphp,mysql,28000,https://github.com/topics/amphp/mysql
amphp,parallel-functions,23000,https://github.com/topics/amphp/parallel-functions
amphp,process,18000,https://github.com/topics/amphp/process
amphp,socket,16000,https://github.com/topics/amphp/socket
amphp,redis,13000,https://github.com/topics/amphp/redis
amphp,dns,12000,https://github.com/topics/amphp/dns
amphp,sync,11000,https://github.com/topics/amphp/sync
kelunik,acme,11000,https://github.com/topics/kelunik/acme
amphp,websocket-client,10000,https://github.com/topics/amphp/websocket-client
PeeHaa,mailgrab,9000,https://github.com/topics/PeeHaa/mailgrab
amphp,websocket-server,8000,https://github.com/topics/amphp/websocket-server
amphp,serialization,8000,https://github.com/topics/amphp/serialization
