username,repo_name,stars,repo_url
flutter,flutter,145000,https://github.com/topics/flutter/flutter
justjavac,free-programming-books-zh_CN,95800,https://github.com/topics/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,70700,https://github.com/topics/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,56200,https://github.com/topics/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46500,https://github.com/topics/google/material-design-icons
wasabeef,awesome-android-ui,44000,https://github.com/topics/wasabeef/awesome-android-ui
square,okhttp,42900,https://github.com/topics/square/okhttp
Solido,awesome-flutter,42900,https://github.com/topics/Solido/awesome-flutter
android,architecture-samples,41500,https://github.com/topics/android/architecture-samples
square,retrofit,40600,https://github.com/topics/square/retrofit
dcloudio,uni-app,37200,https://github.com/topics/dcloudio/uni-app
fastlane,fastlane,35800,https://github.com/topics/fastlane/fastlane
PhilJay,MPAndroidChart,35600,https://github.com/topics/PhilJay/MPAndroidChart
airbnb,lottie-android,33200,https://github.com/topics/airbnb/lottie-android
bumptech,glide,33000,https://github.com/topics/bumptech/glide
shadowsocks,shadowsocks-android,32900,https://github.com/topics/shadowsocks/shadowsocks-android
laurent22,joplin,32200,https://github.com/topics/laurent22/joplin
skylot,jadx,31700,https://github.com/topics/skylot/jadx
Blankj,AndroidUtilCode,31400,https://github.com/topics/Blankj/AndroidUtilCode
xitu,gold-miner,31300,https://github.com/topics/xitu/gold-miner
