username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,95800,https://github.com/topics/justjavac/free-programming-books-zh_CN
angular,angular,84000,https://github.com/topics/angular/angular
storybookjs,storybook,74100,https://github.com/topics/storybookjs/storybook
leonardomso,33-js-concepts,51800,https://github.com/topics/leonardomso/33-js-concepts
ionic-team,ionic-framework,48000,https://github.com/topics/ionic-team/ionic-framework
prettier,prettier,43900,https://github.com/topics/prettier/prettier
SheetJS,sheetjs,31300,https://github.com/topics/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,27800,https://github.com/topics/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,25600,https://github.com/topics/angular/angular-cli
angular,components,23000,https://github.com/topics/angular/components
NativeScript,NativeScript,21600,https://github.com/topics/NativeScript/NativeScript
jhipster,generator-jhipster,19900,https://github.com/topics/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,19100,https://github.com/topics/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18100,https://github.com/topics/pubkey/rxdb
handsontable,handsontable,17100,https://github.com/topics/handsontable/handsontable
teambit,bit,15800,https://github.com/topics/teambit/bit
sweetalert2,sweetalert2,15000,https://github.com/topics/sweetalert2/sweetalert2
nrwl,nx,14700,https://github.com/topics/nrwl/nx
linnovate,mean,12200,https://github.com/topics/linnovate/mean
sudheerj,javascript-interview-questions,12000,https://github.com/topics/sudheerj/javascript-interview-questions
