username,repo_name,stars,repo_url
ansible,ansible,54600,https://github.com/topics/ansible/ansible
bregman-arie,devops-exercises,30400,https://github.com/topics/bregman-arie/devops-exercises
trailofbits,algo,26100,https://github.com/topics/trailofbits/algo
StreisandEffect,streisand,22900,https://github.com/topics/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,17500,https://github.com/topics/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12900,https://github.com/topics/kubernetes-sigs/kubespray
ansible,awx,11400,https://github.com/topics/ansible/awx
easzlab,kubeasz,8500,https://github.com/topics/easzlab/kubeasz
geerlingguy,ansible-for-devops,6200,https://github.com/topics/geerlingguy/ansible-for-devops
khuedoan,homelab,6100,https://github.com/topics/khuedoan/homelab
ansible-semaphore,semaphore,5200,https://github.com/topics/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,5200,https://github.com/topics/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4800,https://github.com/topics/geerlingguy/mac-dev-playbook
rundeck,rundeck,4700,https://github.com/topics/rundeck/rundeck
KubeOperator,KubeOperator,4400,https://github.com/topics/KubeOperator/KubeOperator
clong,DetectionLab,3900,https://github.com/topics/clong/DetectionLab
netbootxyz,netboot.xyz,3600,https://github.com/topics/netbootxyz/netboot.xyz
ansible-community,molecule,3400,https://github.com/topics/ansible-community/molecule
litmuschaos,litmus,3300,https://github.com/topics/litmuschaos/litmus
opendevops-cn,opendevops,3300,https://github.com/topics/opendevops-cn/opendevops
