username,repo_name,stars,repo_url
arendst,Tasmota,18400,https://github.com/topics/arendst/Tasmota
MarlinFirmware,Marlin,13800,https://github.com/topics/MarlinFirmware/Marlin
arduino,Arduino,13200,https://github.com/topics/arduino/Arduino
rwaldron,johnny-five,12800,https://github.com/topics/rwaldron/johnny-five
tinygo-org,tinygo,11500,https://github.com/topics/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10500,https://github.com/topics/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9300,https://github.com/topics/espressif/arduino-esp32
hybridgroup,gobot,7900,https://github.com/topics/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7800,https://github.com/topics/gurugio/lowlevelprogramming-university
platformio,platformio-core,6100,https://github.com/topics/platformio/platformio-core
bblanchon,ArduinoJson,5800,https://github.com/topics/bblanchon/ArduinoJson
tzapu,WiFiManager,5400,https://github.com/topics/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/topics/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3700,https://github.com/topics/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3500,https://github.com/topics/arduino/arduino-cli
blynkkk,blynk-library,3500,https://github.com/topics/blynkkk/blynk-library
olikraus,u8g2,3300,https://github.com/topics/olikraus/u8g2
NectarJS,nectarjs,3300,https://github.com/topics/NectarJS/nectarjs
ClemensElflein,OpenMower,3300,https://github.com/topics/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2900,https://github.com/topics/Serial-Studio/Serial-Studio
