username,repo_name,stars,repo_url
atom,atom,58500,https://github.com/topics/atom/atom
themerdev,themer,4900,https://github.com/topics/themerdev/themer
miniflux,v2,4000,https://github.com/topics/miniflux/v2
nteract,hydrogen,3800,https://github.com/topics/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3700,https://github.com/topics/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com/topics/atom/teletype
mmcdole,gofeed,2000,https://github.com/topics/mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com/topics/mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://github.com/topics/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/topics/Glavin001/atom-beautify
kurtmckee,feedparser,1500,https://github.com/topics/kurtmckee/feedparser
simplepie,simplepie,1500,https://github.com/topics/simplepie/simplepie
ocaml,merlin,1400,https://github.com/topics/ocaml/merlin
t9md,atom-vim-mode-plus,1400,https://github.com/topics/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1300,https://github.com/topics/MagicStack/MagicPython
atom,apm,1300,https://github.com/topics/atom/apm
file-icons,atom,1200,https://github.com/topics/file-icons/atom
kettanaito,atomic-layout,1100,https://github.com/topics/kettanaito/atomic-layout
atom,github,1000,https://github.com/topics/atom/github
fwcd,kotlin-language-server,1000,https://github.com/topics/fwcd/kotlin-language-server
