username,repo_name,stars,repo_url
sindresorhus,awesome,221000,https://github.com/topics/sindresorhus/awesome
vinta,awesome-python,143000,https://github.com/topics/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,104000,https://github.com/topics/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,88300,https://github.com/topics/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,78100,https://github.com/topics/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,64500,https://github.com/topics/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,59500,https://github.com/topics/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,56200,https://github.com/topics/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,53300,https://github.com/topics/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,49900,https://github.com/topics/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,46900,https://github.com/topics/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,44000,https://github.com/topics/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,43800,https://github.com/topics/MunGell/awesome-for-beginners
Solido,awesome-flutter,42900,https://github.com/topics/Solido/awesome-flutter
prakhar1989,awesome-courses,42800,https://github.com/topics/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,40800,https://github.com/topics/binhnguyennus/awesome-scalability
vsouza,awesome-ios,40600,https://github.com/topics/vsouza/awesome-ios
fffaraz,awesome-cpp,40400,https://github.com/topics/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,37000,https://github.com/topics/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35200,https://github.com/topics/dypsilon/frontend-dev-bookmarks
