username,repo_name,stars,repo_url
bregman-arie,devops-exercises,30400,https://github.com/topics/bregman-arie/devops-exercises
microsoft,recommenders,14000,https://github.com/topics/microsoft/recommenders
pulumi,pulumi,13700,https://github.com/topics/pulumi/pulumi
ramitsurana,awesome-kubernetes,13100,https://github.com/topics/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12200,https://github.com/topics/Azure/azure-quickstart-templates
mozilla,sops,10800,https://github.com/topics/mozilla/sops
caprover,caprover,9300,https://github.com/topics/caprover/caprover
microsoft,computervision-recipes,8700,https://github.com/topics/microsoft/computervision-recipes
google,go-cloud,8600,https://github.com/topics/google/go-cloud
infracost,infracost,7900,https://github.com/topics/infracost/infracost
microsoft,azuredatastudio,6900,https://github.com/topics/microsoft/azuredatastudio
node-formidable,formidable,6400,https://github.com/topics/node-formidable/formidable
midwayjs,midway,6100,https://github.com/topics/midwayjs/midway
thangchung,clean-code-dotnet,5400,https://github.com/topics/thangchung/clean-code-dotnet
aquasecurity,tfsec,5100,https://github.com/topics/aquasecurity/tfsec
budtmo,docker-android,4900,https://github.com/topics/budtmo/docker-android
bridgecrewio,checkov,4700,https://github.com/topics/bridgecrewio/checkov
nccgroup,ScoutSuite,4700,https://github.com/topics/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4400,https://github.com/topics/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,3900,https://github.com/topics/Azure/azure-sdk-for-net
