username,repo_name,stars,repo_url
babel,babel,41400,https://github.com/topics/babel/babel
nylas,nylas-mail,24700,https://github.com/topics/nylas/nylas-mail
swc-project,swc,24000,https://github.com/topics/swc-project/swc
kriasoft,react-starter-kit,21500,https://github.com/topics/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,20200,https://github.com/topics/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20000,https://github.com/topics/avajs/ava
SimulatedGREG,electron-vue,15100,https://github.com/topics/SimulatedGREG/electron-vue
grab,front-end-guide,14600,https://github.com/topics/grab/front-end-guide
jamiebuilds,babel-handbook,11200,https://github.com/topics/jamiebuilds/babel-handbook
grommet,grommet,8000,https://github.com/topics/grommet/grommet
developit,htm,7900,https://github.com/topics/developit/htm
ben-rogerson,twin.macro,6200,https://github.com/topics/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/topics/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5600,https://github.com/topics/documentationjs/documentation
insin,nwb,5500,https://github.com/topics/insin/nwb
thinkjs,thinkjs,5300,https://github.com/topics/thinkjs/thinkjs
egoist,poi,5300,https://github.com/topics/egoist/poi
fkling,astexplorer,5000,https://github.com/topics/fkling/astexplorer
transitive-bullshit,create-react-library,4700,https://github.com/topics/transitive-bullshit/create-react-library
babel,babel-loader,4700,https://github.com/topics/babel/babel-loader
