username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,110000,https://github.com/topics/jlevy/the-art-of-command-line
nvm-sh,nvm,61100,https://github.com/topics/nvm-sh/nvm
junegunn,fzf,47100,https://github.com/topics/junegunn/fzf
google,zx,34200,https://github.com/topics/google/zx
dylanaraps,pure-bash-bible,31800,https://github.com/topics/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,30600,https://github.com/topics/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,30000,https://github.com/topics/koalaman/shellcheck
starship,starship,28700,https://github.com/topics/starship/starship
mathiasbynens,dotfiles,28300,https://github.com/topics/mathiasbynens/dotfiles
acmesh-official,acme.sh,28200,https://github.com/topics/acmesh-official/acme.sh
alebcay,awesome-shell,24900,https://github.com/topics/alebcay/awesome-shell
withfig,autocomplete,20000,https://github.com/topics/withfig/autocomplete
jaywcjlove,linux-command,19800,https://github.com/topics/jaywcjlove/linux-command
dylanaraps,neofetch,16200,https://github.com/topics/dylanaraps/neofetch
Nyr,openvpn-install,15700,https://github.com/topics/Nyr/openvpn-install
rbenv,rbenv,14400,https://github.com/topics/rbenv/rbenv
powerline,powerline,13500,https://github.com/topics/powerline/powerline
shelljs,shelljs,13500,https://github.com/topics/shelljs/shelljs
Bash-it,bash-it,13200,https://github.com/topics/Bash-it/bash-it
faressoft,terminalizer,12900,https://github.com/topics/faressoft/terminalizer
