username,repo_name,stars,repo_url
bitcoin,bitcoin,66200,https://github.com/topics/bitcoin/bitcoin
ccxt,ccxt,25800,https://github.com/topics/ccxt/ccxt
freqtrade,freqtrade,19200,https://github.com/topics/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17600,https://github.com/topics/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/topics/askmike/gekko
solana-labs,solana,9400,https://github.com/topics/solana-labs/solana
bbfamily,abu,9300,https://github.com/topics/bbfamily/abu
lbryio,lbry-sdk,7100,https://github.com/topics/lbryio/lbry-sdk
dvf,blockchain,7100,https://github.com/topics/dvf/blockchain
lightningnetwork,lnd,6300,https://github.com/topics/lightningnetwork/lnd
yeasy,blockchain_guide,6300,https://github.com/topics/yeasy/blockchain_guide
spesmilo,electrum,5900,https://github.com/topics/spesmilo/electrum
butor,blackbird,5600,https://github.com/topics/butor/blackbird
btcsuite,btcd,4900,https://github.com/topics/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4700,https://github.com/topics/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4400,https://github.com/topics/bitcoinj/bitcoinj
jesse-ai,jesse,4200,https://github.com/topics/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4100,https://github.com/topics/CryptoSignal/Crypto-Signal
bisq-network,bisq,4100,https://github.com/topics/bisq-network/bisq
coinpride,CryptoList,3800,https://github.com/topics/coinpride/CryptoList
