username,repo_name,stars,repo_url
Genymobile,scrcpy,70700,https://github.com/topics/Genymobile/scrcpy
neovim,neovim,57900,https://github.com/topics/neovim/neovim
git,git,43600,https://github.com/topics/git/git
obsproject,obs-studio,41800,https://github.com/topics/obsproject/obs-studio
fffaraz,awesome-cpp,40400,https://github.com/topics/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32200,https://github.com/topics/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,31800,https://github.com/topics/FFmpeg/FFmpeg
vim,vim,28500,https://github.com/topics/vim/vim
curl,curl,26700,https://github.com/topics/curl/curl
huihut,interview,25900,https://github.com/topics/huihut/interview
ggreer,the_silver_searcher,24100,https://github.com/topics/ggreer/the_silver_searcher
pbatard,rufus,20200,https://github.com/topics/pbatard/rufus
mpv-player,mpv,20100,https://github.com/topics/mpv-player/mpv
ruby,ruby,19500,https://github.com/topics/ruby/ruby
ossrs,srs,19200,https://github.com/topics/ossrs/srs
google,flatbuffers,18800,https://github.com/topics/google/flatbuffers
oracle,graal,17500,https://github.com/topics/oracle/graal
radareorg,radare2,16900,https://github.com/topics/radareorg/radare2
microsoft,vcpkg,16800,https://github.com/topics/microsoft/vcpkg
kovidgoyal,kitty,16000,https://github.com/topics/kovidgoyal/kitty
