username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29000,https://github.com/topics/CSSEGISandData/COVID-19
covid19india,covid19india-react,6900,https://github.com/topics/covid19india/covid19india-react
nytimes,covid-19-data,6900,https://github.com/topics/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6400,https://github.com/topics/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5400,https://github.com/topics/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/topics/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2900,https://github.com/topics/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://github.com/topics/disease-sh/API
geohot,corona,2300,https://github.com/topics/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/topics/WorldHealthOrganization/app
corona-warn-app,cwa-server,1900,https://github.com/topics/corona-warn-app/cwa-server
ahmadawais,corona-cli,1900,https://github.com/topics/ahmadawais/corona-cli
github,covid19-dashboard,1600,https://github.com/topics/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1600,https://github.com/topics/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,https://github.com/topics/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,https://github.com/topics/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1400,https://github.com/topics/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,1300,https://github.com/topics/chandrikadeb7/Face-Mask-Detection
pomber,covid19,1200,https://github.com/topics/pomber/covid19
covidpass-org,covidpass,1200,https://github.com/topics/covidpass-org/covidpass
