username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,29100,https://github.com/topics/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19800,https://github.com/topics/jaywcjlove/linux-command
refined-github,refined-github,18900,https://github.com/topics/refined-github/refined-github
darkreader,darkreader,15000,https://github.com/topics/darkreader/darkreader
checkly,headless-recorder,14500,https://github.com/topics/checkly/headless-recorder
unbug,codelf,13100,https://github.com/topics/unbug/codelf
Anarios,return-youtube-dislike,10100,https://github.com/topics/Anarios/return-youtube-dislike
crimx,ext-saladict,9700,https://github.com/topics/crimx/ext-saladict
gildas-lormeau,SingleFile,9100,https://github.com/topics/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8900,https://github.com/topics/listen1/listen1_chrome_extension
dailydotdev,daily,8500,https://github.com/topics/dailydotdev/daily
appbaseio,dejavu,7900,https://github.com/topics/appbaseio/dejavu
alyssaxuu,screenity,7600,https://github.com/topics/alyssaxuu/screenity
Kenshin,simpread,6300,https://github.com/topics/Kenshin/simpread
ajayyy,SponsorBlock,5500,https://github.com/topics/ajayyy/SponsorBlock
AutomaApp,automa,5500,https://github.com/topics/AutomaApp/automa
alyssaxuu,omni,5500,https://github.com/topics/alyssaxuu/omni
dessant,buster,5200,https://github.com/topics/dessant/buster
manojVivek,medium-unlimited,5000,https://github.com/topics/manojVivek/medium-unlimited
webclipper,web-clipper,4500,https://github.com/topics/webclipper/web-clipper
