username,repo_name,stars,repo_url
electron,electron,104000,https://github.com/topics/electron/electron
puppeteer,puppeteer,80000,https://github.com/topics/puppeteer/puppeteer
microsoft,playwright,42600,https://github.com/topics/microsoft/playwright
FiloSottile,mkcert,36900,https://github.com/topics/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,29100,https://github.com/topics/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22200,https://github.com/topics/ovity/octotree
jaywcjlove,linux-command,19800,https://github.com/topics/jaywcjlove/linux-command
segmentio,nightmare,19300,https://github.com/topics/segmentio/nightmare
checkly,headless-recorder,14500,https://github.com/topics/checkly/headless-recorder
google,WebFundamentals,13500,https://github.com/topics/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/topics/prisma-archive/chromeless
casesandberg,react-color,10900,https://github.com/topics/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10700,https://github.com/topics/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9700,https://github.com/topics/crimx/ext-saladict
gildas-lormeau,SingleFile,9100,https://github.com/topics/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8700,https://github.com/topics/MetaMask/metamask-extension
chromedp,chromedp,8200,https://github.com/topics/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/topics/uBlock-LLC/uBlock
alvarcarto,url-to-pdf-api,6700,https://github.com/topics/alvarcarto/url-to-pdf-api
Kenshin,simpread,6300,https://github.com/topics/Kenshin/simpread
