username,repo_name,stars,repo_url
metabase,metabase,29800,https://github.com/topics/metabase/metabase
logseq,logseq,16800,https://github.com/topics/logseq/logseq
penpot,penpot,16500,https://github.com/topics/penpot/penpot
deeplearning4j,deeplearning4j,12600,https://github.com/topics/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/topics/LightTable/LightTable
kanaka,mal,8900,https://github.com/topics/kanaka/mal
lk-geimfari,awesomo,8600,https://github.com/topics/lk-geimfari/awesomo
tonsky,datascript,4900,https://github.com/topics/tonsky/datascript
reagent-project,reagent,4500,https://github.com/topics/reagent-project/reagent
riemann,riemann,4100,https://github.com/topics/riemann/riemann
weavejester,compojure,4000,https://github.com/topics/weavejester/compojure
bbatsov,clojure-style-guide,3900,https://github.com/topics/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3800,https://github.com/topics/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,3500,https://github.com/topics/status-im/status-mobile
ring-clojure,ring,3500,https://github.com/topics/ring-clojure/ring
clojure-emacs,cider,3300,https://github.com/topics/clojure-emacs/cider
viebel,klipse,3000,https://github.com/topics/viebel/klipse
babashka,babashka,2900,https://github.com/topics/babashka/babashka
tallesl,Rich-Hickey-fanclub,2900,https://github.com/topics/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2900,https://github.com/topics/bhauman/lein-figwheel
