username,repo_name,stars,repo_url
realm,SwiftLint,16500,https://github.com/topics/realm/SwiftLint
facebook,infer,13500,https://github.com/topics/facebook/infer
analysis-tools-dev,static-analysis,10300,https://github.com/topics/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,8000,https://github.com/topics/Kristories/awesome-guidelines
checkstyle,checkstyle,7300,https://github.com/topics/checkstyle/checkstyle
SonarSource,sonarqube,7200,https://github.com/topics/SonarSource/sonarqube
facebook,pyre-check,6100,https://github.com/topics/facebook/pyre-check
reviewdog,reviewdog,5600,https://github.com/topics/reviewdog/reviewdog
detekt,detekt,4800,https://github.com/topics/detekt/detekt
simplecov-ruby,simplecov,4500,https://github.com/topics/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4300,https://github.com/topics/import-js/eslint-plugin-import
PyCQA,pylint,4200,https://github.com/topics/PyCQA/pylint
pmd,pmd,4000,https://github.com/topics/pmd/pmd
phpro,grumphp,3800,https://github.com/topics/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3700,https://github.com/topics/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2900,https://github.com/topics/htmlhint/HTMLHint
kucherenko,jscpd,2800,https://github.com/topics/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/topics/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,https://github.com/topics/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/topics/uber/piranha
