username,repo_name,stars,repo_url
ovity,octotree,22200,https://github.com/topics/ovity/octotree
gitpod-io,gitpod,9100,https://github.com/topics/gitpod-io/gitpod
reviewdog,reviewdog,5600,https://github.com/topics/reviewdog/reviewdog
danger,danger,4900,https://github.com/topics/danger/danger
danger,danger-js,4600,https://github.com/topics/danger/danger-js
joho,awesome-code-review,3600,https://github.com/topics/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com/topics/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://github.com/topics/microsoft/vscode-pull-request-github
houndci,hound,1900,https://github.com/topics/houndci/hound
mbj,mutant,1900,https://github.com/topics/mbj/mutant
crev-dev,cargo-crev,1700,https://github.com/topics/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/topics/reviewboard/reviewboard
Tencent,CodeAnalysis,1300,https://github.com/topics/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1200,https://github.com/topics/ryanmcdermott/code-review-tips
bit4woo,python_sec,1100,https://github.com/topics/bit4woo/python_sec
code-review-checklists,java-concurrency,1100,https://github.com/topics/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,85000,https://github.com/topics/jiangsir404/Audit-Learning
TeamCodeStream,codestream,82000,https://github.com/topics/TeamCodeStream/codestream
enlightn,enlightn,69000,https://github.com/topics/enlightn/enlightn
palantir,policy-bot,53000,https://github.com/topics/palantir/policy-bot
