username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,150000,https://github.com/topics/ohmyzsh/ohmyzsh
junegunn,fzf,47100,https://github.com/topics/junegunn/fzf
sharkdp,bat,37200,https://github.com/topics/sharkdp/bat
sherlock-project,sherlock,35500,https://github.com/topics/sherlock-project/sherlock
google,zx,34200,https://github.com/topics/google/zx
wagoodman,dive,33800,https://github.com/topics/wagoodman/dive
BurntSushi,ripgrep,33300,https://github.com/topics/BurntSushi/ripgrep
chubin,cheat.sh,30500,https://github.com/topics/chubin/cheat.sh
cli,cli,29900,https://github.com/topics/cli/cli
jesseduffield,lazygit,29900,https://github.com/topics/jesseduffield/lazygit
spf13,cobra,28700,https://github.com/topics/spf13/cobra
angular,angular-cli,25600,https://github.com/topics/angular/angular-cli
n8n-io,n8n,25600,https://github.com/topics/n8n-io/n8n
alebcay,awesome-shell,24900,https://github.com/topics/alebcay/awesome-shell
sharkdp,fd,24600,https://github.com/topics/sharkdp/fd
ibraheemdev,modern-unix,24300,https://github.com/topics/ibraheemdev/modern-unix
httpie,httpie,23800,https://github.com/topics/httpie/httpie
google,python-fire,23000,https://github.com/topics/google/python-fire
tqdm,tqdm,23000,https://github.com/topics/tqdm/tqdm
vercel,pkg,22000,https://github.com/topics/vercel/pkg
