username,repo_name,stars,repo_url
vercel,next.js,93000,https://github.com/topics/vercel/next.js
rust-lang,rust,72200,https://github.com/topics/rust-lang/rust
sveltejs,svelte,62300,https://github.com/topics/sveltejs/svelte
webpack,webpack,61800,https://github.com/topics/webpack/webpack
gatsbyjs,gatsby,53600,https://github.com/topics/gatsbyjs/gatsby
JetBrains,kotlin,42700,https://github.com/topics/JetBrains/kotlin
babel,babel,41400,https://github.com/topics/babel/babel
parcel-bundler,parcel,41300,https://github.com/topics/parcel-bundler/parcel
evanw,esbuild,33300,https://github.com/topics/evanw/esbuild
vlang,v,30500,https://github.com/topics/vlang/v
markedjs,marked,28300,https://github.com/topics/markedjs/marked
carbon-language,carbon-lang,27700,https://github.com/topics/carbon-language/carbon-lang
swc-project,swc,24000,https://github.com/topics/swc-project/swc
vercel,pkg,22000,https://github.com/topics/vercel/pkg
v8,v8,20200,https://github.com/topics/v8/v8
ziglang,zig,17800,https://github.com/topics/ziglang/zig
AssemblyScript,assemblyscript,14600,https://github.com/topics/AssemblyScript/assemblyscript
nim-lang,Nim,13600,https://github.com/topics/nim-lang/Nim
Konloch,bytecode-viewer,13300,https://github.com/topics/Konloch/bytecode-viewer
RustPython,RustPython,12200,https://github.com/topics/RustPython/RustPython
