username,repo_name,stars,repo_url
localstack,localstack,43700,https://github.com/topics/localstack/localstack
harness,drone,25800,https://github.com/topics/harness/drone
jenkinsci,jenkins,19500,https://github.com/topics/jenkinsci/jenkins
auchenberg,volkswagen,12500,https://github.com/topics/auchenberg/volkswagen
theonedev,onedev,9600,https://github.com/topics/theonedev/onedev
openshift,origin,8200,https://github.com/topics/openshift/origin
gocd,gocd,6600,https://github.com/topics/gocd/gocd
concourse,concourse,6600,https://github.com/topics/concourse/concourse
buildbot,buildbot,4900,https://github.com/topics/buildbot/buildbot
gaia-pipeline,gaia,4800,https://github.com/topics/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/topics/Strider-CD/strider
jenkins-x,jx,4200,https://github.com/topics/jenkins-x/jx
ovh,cds,4000,https://github.com/topics/ovh/cds
xcpretty,xcpretty,3800,https://github.com/topics/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/topics/hygieia/hygieia
iterative,cml,3500,https://github.com/topics/iterative/cml
cake-build,cake,3400,https://github.com/topics/cake-build/cake
werf,werf,3300,https://github.com/topics/werf/werf
JamesIves,github-pages-deploy-action,3200,https://github.com/topics/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,3000,https://github.com/topics/ligurio/awesome-ci
